id,source,cleaned_question,question_type
1,,Is it difficult not to experience a fear of missing out (FOMO) when considering real estate investment opportunities in Canada?,
2,,Is the individual (dad) aged 55 lacking sufficient funds for retirement?,
3,,"Given a savings of approximately CAD 100,000, should the individual opt for purchasing a condo or continue investing?",
4,,What is the fate of individual stocks held within an RRSP upon death?,
5,,"Is moving funds from WealthSimple's managed portfolios (Growth Portfolio-9 for High Risk and Balanced -5 for Medium Risk) into individual ETFs XEQT (High Risk), VGRO, and XGRO (Balanced Risk) a cost-effective decision?",
6,,"What risks should one consider before investing, specifically focusing on the different types of investment risks?",
7,,What information is important to know about Get Smarter About Trading before making an investment?,
8,,What is the impact of an FAQ (Frequently Asked Questions) from the Ontario Securities Commission's (OSC) Community on a retail investor?,
9,,What are some suitable ETFs that could complement VFV in a portfolio?,
10,,How does the type of investment advice influence a retail investor?,
11,,What are the consequences of only investing at market peaks?,
12,,What are important factors to consider before investing in Digital Tokens?,
13,,Should I invest in OMERS instead of purchasing XEQT with the same amount of money?,
14,,What key points should be considered about the impact of a recession on investments prior to investing?,
15,,What impact does reviewing an estate plan have on a retail investor?,
16,,"What does the statement 'You're young, you can tolerate more risk' mean in the context of personal finance and investing?",
17,,Considering using CASH.TO rather than Wealthsimple Cash for temporary savings,
18,,Why is the investment in VFV (a Canadian all-capitalization ETF) yielding a perceived low return?,
19,,What is the impact of overconfidence bias on financial decisions prior to investing?,
20,,What is Wealthsimple's risk tolerance for investment portfolios?,
21,,Is it possible to contribute less to my RRSP since I am paying for CPP2?,
22,,How do trading apps' potential influences on behavior impact retail investors?,
23,,Is it advisable to utilize investments for mortgage repayment?,
24,,What is the impact of research and reports on a retail investor?,
25,,Comparing Mutual Funds and Exchange-Traded Funds (ETFs),
26,,Should I Invest in XEQT Permanently?,
27,,What risks should I consider before investing in why does risk matter in investing?,
28,,What is the impact of family and friends on a retail investor in Canada?,
29,,What key information is essential to understand about how annuities function before making an investment?,
30,,How to reduce risk in a pension?,
31,,Should one utilize RRSP and FHSA deductions if there is no outstanding tax liability?,
32,,Is it true that BMO now offers commission-free trading for several Exchange-Traded Funds (ETFs)?.,
33,,At what point should contributions be made to a Registered Retirement Savings Plan (RRSP)?,
34,,"Which is the best additional ETF to gain more technology exposure, given that XEQT is currently held?",
35,,What is the impact of regularly reviewing account statements on a retail investor?,
36,,"What is the percentage of Canadians retiring with an annual income less than $15,000 and those retiring with $60,000 or more, and are these figures accurate? If not, what are the actual percentages and does this include me (the respondent) in the 51% group?",
37,,Reporting of Foreign Assets by US Stocks,
38,,How does one effectively invest personal funds in legitimate investment opportunities?,
39,,"Should I sell my $30,000 Pokemon collection to max out my TFSA (Tax-Free Savings Account) and FHSA (First Home Savings Account)?",
40,,What was the return percentage and the total net asset value of CPP Investments for the third quarter?,
41,,What key factors should be considered about Individual Pension Plans (IPPs) prior to investment?,
42,,Advice needed for TFSA Portfolio as RRSP is maxed out.,
43,,What are the risks associated with investing in mutual funds?,
44,,Is there any obligation for a Canadian estate to pay to an IRA (Individual Retirement Account) following the death of a Canadian individual who held US stocks in their portfolio?,
45,,Are there Environmentally Conscious Exchange-Traded Funds (ETFs) available in Canada?,
46,,What is important to know about out-of-country travel medical insurance prior to making an investment?,
47,,What factors related to life events should be considered before making an investment?,
48,,Should travel expenses be made using Amex Cobalt or Wealthsimple Visa Card?,
49,,What impact does a market bubble have on a retail investor?,
50,,What is the impact of growth investment strategies on retail investors?,
51,,"At what age should an individual aged 35, who has invested 100% of their Tax-Free Savings Account (TFSA) in XEQT, consider reducing their risk tolerance and starting to move towards bonds?",
52,,Does RBC have high fees for self-directed investing?,
53,,What are the key differences between Active and Passive investment strategies before making an investment decision in Canada?,
54,,How should one determine their investment strategy prior to investing?,
55,,How does loss aversion impact a retail investor?,
56,,Millionaire homeowners struggling in retirement due to insufficient savings despite substantial home equity,
57,,How does the time horizon impact investment goals for a retail investor?,
58,,What is the impact of budgeting during retirement on a retail investor?,
59,,Comparison between VFV and QQC from iShares versus VEQT from Vanguard in terms of return,
60,,Is it advisable to take out a mortgage when Tax-Free Savings Account (TFSA) and Registered Retirement Savings Plan (RRSP) are already maxed out?,
61,,"Comparing XEQT, VEQT, and QQQ: Which has a better return on investment?",
62,,What is the impact of tracking investing returns on a retail investor?,
63,,"Is the S&P 500 a suitable investment option for an individual averse to high risk, given that they have additional funds?",
64,,Is there a Smart or Recency Bias when investing in VEQT and VFV?,
65,,What are the three essential responsibilities to consider before making an investment?,
66,,What essential information should be considered before investing in Guaranteed Investment Certificates (GICs) in Canada?,
67,,"What are the influences of trading apps on investment behavior, specifically nudges prior to investing?",
68,,Does the VFV dividend match the S&P 500 dividend?,
69,,Should I contribute to a Registered Retirement Savings Plan (RRSP) or not?,
70,,How do behavioral biases impact a retail investor during market bubbles?,
71,,Is the official Tax-Free Savings Account (TFSA) contribution room for the year 2024 $7000?,
72,,Our experience opening an FHSA: Yikes,
73,,What is the impact of a pension plan on a retail investor?,
74,,"Is there a debate on high-interest ETFs among Bay Street participants, which have gained popularity among retail investors, leading to a federal review?",
75,,"Does home insurance have an impact on the financial investments of a retail investor, and if so, how and why?",
76,,How does the power of attorney impact a retail investor?,
77,,What is the importance and relevant information to consider about community outreach when making investment decisions?,
78,,Recommendations for pairing investments with the ETF VFV (iShares S&P/TSX 60 Index)?,
79,,What is the impact of tracking one's investment returns on a retail investor?,
80,,What information should I expect when working with a financial advisor prior to investment?,
81,,What is essential to understand about trailing commissions prior to investment?,
82,,How does 'Gaming the System' influence a Retail Investor in Online Trading?,
83,,What is the impact of the 'Take the Love and Money Quiz' on a retail investor?,
84,,"What risks should I consider before investing, specifically concerning the relationship between volatility and investment risk?",
85,,What factors should be considered about family and friends prior to making investments?,
86,,What is a cost-effective and low/no-risk method for converting USD to CAD?,
87,,Does the cash flow of small businesses impact the investments of retail investors?,
88,,Does Wealthsimple offer a wider bid-ask spread for VEQT compared to XEQT?,
89,,What key points should be considered about research and reports prior to making an investment?,
90,,Is there any advantage to contributing to an RRSP if one expects to be in a high tax bracket upon retirement?,
91,,What is the impact on a retail investor when closing a bank account?,
92,,Is it advisable to purchase the ETF 'VFV' within a Registered Retirement Savings Plan (RRSP) account?,
93,,Is Wealthsimple's Chequing Account used as a credit card?,
94,,What are the key considerations for prioritizing one's own interests when making investment decisions?,
95,,What impact does 'Take the Stress Out of Budgeting' have on a Retail Investor?,
96,,Is it advisable to open a First Home Savings Account (FHSA) if one is not planning on purchasing a home?,
97,,What is the impact of checking account operations on a retail investor?,
98,,Does the CRA (Canada Revenue Agency) My Account provide 2025 FHSA (First Home Savings Account) participation room statements?,
99,,What key questions should one consider before making an investment?,
100,,What information should be expected during a first meeting before investing in Canada?,
101,,What is the impact of spending more than earning on a retail investor?,
102,,Comparison between Wealthsimple and Major Canadian Banks for Investment Services,
103,,Is there a specific question related to foreign stock investments on a Canadian tax return?,
104,,What are the essential elements of an Investment Policy Statement (IPS) prior to investing?,
105,,Can stocks be sold before the end of a year to qualify for tax-free capital gains in Canada?,
